"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"359",14,"Kirk Cousins",ATL,"QB38","5","4 out of 5 stars","-44"
"360",14,"Jake Moody",SF,"K23","14","5 out of 5 stars","-142"
"361",14,"Austin Hooper",NE,"TE48","14","3 out of 5 stars","-17"
"362",14,"Mack Hollins",NE,"WR127","14","3 out of 5 stars","-6"
"363",14,"Greg Dortch",ARI,"WR128","8","4 out of 5 stars","+118"
"364",14,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-161"
"365",14,"Donovan Edwards",NYJ,"RB104","9","5 out of 5 stars","+191"
"366",14,"Hunter Renfrow",CAR,"WR129","14","4 out of 5 stars","-35"
"367",14,"LeQuint Allen Jr.",JAC,"RB105","8","2 out of 5 stars","+453"
"368",14,"KeAndre Lambert-Smith",LAC,"WR130","12","3 out of 5 stars","+11"
"369",15,"Isaiah Bond",CLE,"WR131","9","2 out of 5 stars","-"
"370",15,"Van Jefferson",TEN,"WR132","10","4 out of 5 stars","+88"
"371",15,"Tank Dell",HOU,"WR133","6","4 out of 5 stars","-54"
"372",15,"Dillon Gabriel",CLE,"QB39","9","2 out of 5 stars","+160"
"373",15,"Jameis Winston",NYG,"QB40","14","1 out of 5 stars","-44"
"374",15,"Gunnar Helm",TEN,"TE49","10","3 out of 5 stars","+98"
"375",15,"Eddy Pineiro",FA,"K24","-","-","+116"
